epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,465.843,1.26609,1.44186,1.00135,0.00617,0.9,0.5144,0.29768,1.28854,3.64335,1.11184,0.00100921,0.00100921,0.00100921
43,477.982,1.22791,1.50389,1.11327,0.00617,0.9,0.5144,0.29768,1.28854,3.64335,1.11184,0.00102417,0.00102417,0.00102417
44,489.882,1.19348,1.43009,1.00608,0.98011,0.06,0.69753,0.39911,1.26369,3.4854,1.09641,0.0010387,0.0010387,0.0010387
45,501.336,1.31424,1.66482,1.15855,0.98011,0.06,0.69753,0.39911,1.26369,3.4854,1.09641,0.00105278,0.00105278,0.00105278
46,512.479,1.15768,1.43147,1.0135,0.837,0.13287,0.58828,0.33845,1.3213,3.42426,1.07278,0.00106643,0.00106643,0.00106643
47,523.357,1.45554,1.9797,1.32447,0.837,0.13287,0.58828,0.33845,1.3213,3.42426,1.07278,0.00107964,0.00107964,0.00107964
48,534.198,1.34342,1.60799,1.08086,0.6498,0.20763,0.43964,0.27475,1.22544,3.24384,1.05059,0.0010924,0.0010924,0.0010924
49,544.847,1.4359,1.76108,1.07388,0.6498,0.20763,0.43964,0.27475,1.22544,3.24384,1.05059,0.00110473,0.00110473,0.00110473
50,555.65,1.29789,1.56606,1.14462,0.56895,0.27919,0.46497,0.29767,1.18709,3.12175,1.03031,0.00111661,0.00111661,0.00111661
51,566.813,1.23803,1.53068,1.10791,0.56895,0.27919,0.46497,0.29767,1.18709,3.12175,1.03031,0.00111689,0.00111689,0.00111689
52,578.306,1.23202,1.47684,0.96292,0.52122,0.24215,0.45926,0.28787,1.20871,3.14503,1.03011,0.00110589,0.00110589,0.00110589
53,589.008,1.1227,1.39312,1.0558,0.52122,0.24215,0.45926,0.28787,1.20871,3.14503,1.03011,0.00109489,0.00109489,0.00109489
54,599.951,1.2194,1.60778,1.0367,0.52169,0.45995,0.53292,0.30565,1.26362,3.1217,1.0478,0.00108388,0.00108388,0.00108388
55,610.81,1.57256,2.11517,1.07096,0.52169,0.45995,0.53292,0.30565,1.26362,3.1217,1.0478,0.00107288,0.00107288,0.00107288
56,621.798,1.41904,1.63991,1.03879,0.53514,0.63129,0.54522,0.30554,1.24366,3.04458,1.06743,0.00106188,0.00106188,0.00106188
57,632.281,1.26593,1.39411,1.06631,0.53514,0.63129,0.54522,0.30554,1.24366,3.04458,1.06743,0.00105088,0.00105088,0.00105088
58,643.239,1.37435,1.77449,1.13062,0.52087,0.56,0.53542,0.31222,1.2692,2.97819,1.10731,0.00103987,0.00103987,0.00103987
59,653.892,1.29725,1.60394,1.17733,0.52087,0.56,0.53542,0.31222,1.2692,2.97819,1.10731,0.00102887,0.00102887,0.00102887
60,664.583,1.28695,1.65428,1.13616,0.59014,0.58,0.69875,0.42815,1.29025,2.57525,1.08577,0.00101787,0.00101787,0.00101787
61,675.195,1.19296,1.48574,1.06467,0.59014,0.58,0.69875,0.42815,1.29025,2.57525,1.08577,0.00100687,0.00100687,0.00100687
62,685.732,1.33476,1.55061,1.13621,0.65331,0.61248,0.75915,0.46605,1.23625,2.39219,1.06279,0.000995866,0.000995866,0.000995866
