epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.41352,2.63156,5.54682,1.74648,0.00111,0.16667,0.00076,0.00033,2.7889,5.67263,1.80993,0,0,0
2,10.0758,2.38434,4.39406,1.64056,0.00112,0.16667,0.00087,0.00037,2.56298,5.52995,1.66482,1.65562e-05,1.65562e-05,1.65562e-05
3,15.0682,2.4942,4.44923,1.64978,0.00199,0.29167,0.00157,0.00057,2.26493,5.132,1.50573,3.28847e-05,3.28847e-05,3.28847e-05
4,19.7793,2.3322,4.94365,1.66139,0.00227,0.33333,0.00328,0.00173,2.01376,4.74073,1.36063,4.89857e-05,4.89857e-05,4.89857e-05
5,24.906,1.91995,4.15756,1.41407,0.00254,0.375,0.00692,0.00401,1.7333,4.56564,1.26824,6.48589e-05,6.48589e-05,6.48589e-05
6,29.5365,1.80556,4.54057,1.25361,0.00311,0.45833,0.0104,0.00607,1.57886,4.35023,1.18128,8.05046e-05,8.05046e-05,8.05046e-05
7,34.3422,1.68454,4.51983,1.13489,0.00338,0.5,0.01666,0.011,1.41876,4.23022,1.12941,9.59226e-05,9.59226e-05,9.59226e-05
8,39.35,1.74943,4.24518,1.30121,0.00335,0.5,0.06591,0.04414,1.37061,4.17098,1.11142,0.000111113,0.000111113,0.000111113
9,44.0796,1.42544,3.64036,1.2207,0.00304,0.45833,0.19903,0.13016,1.36211,4.10854,1.1042,0.000126076,0.000126076,0.000126076
10,48.8695,1.47452,3.55598,1.09376,0.0033,0.5,0.26714,0.18439,1.26807,4.03733,1.07512,0.000140811,0.000140811,0.000140811
11,53.7652,1.28983,3.54417,1.06436,0.00301,0.45833,0.33339,0.24271,1.20249,4.02553,1.04055,0.000155318,0.000155318,0.000155318
12,58.9744,1.30277,3.64693,1.03883,0.00327,0.5,0.39264,0.27907,1.14409,4.0191,1.02353,0.000169598,0.000169598,0.000169598
13,63.7672,1.52161,3.54151,1.24589,0.00355,0.54167,0.41128,0.27423,1.14325,3.98037,1.01912,0.000183651,0.000183651,0.000183651
14,68.8929,1.23174,3.17686,1.12962,0.00383,0.58333,0.41687,0.27731,1.1554,3.96064,1.00045,0.000197475,0.000197475,0.000197475
15,73.7586,1.14283,2.8328,1.01583,0.00438,0.66667,0.43407,0.26111,1.11151,3.95073,0.97663,0.000211072,0.000211072,0.000211072
16,78.6314,1.28417,2.7845,1.0023,0.00443,0.66667,0.42912,0.26438,1.11513,3.89354,0.97668,0.000224441,0.000224441,0.000224441
17,83.6707,1.32461,3.47159,1.09022,0.00451,0.66667,0.45067,0.23993,1.21898,3.87027,1.0011,0.000237583,0.000237583,0.000237583
18,88.617,1.29962,2.53544,1.0826,0.00451,0.66667,0.45067,0.23993,1.21898,3.87027,1.0011,0.000250497,0.000250497,0.000250497
19,93.6886,1.28301,2.31317,1.07284,0.00436,0.625,0.4498,0.24566,1.29194,3.93492,1.02661,0.000263184,0.000263184,0.000263184
20,98.793,1.23771,2.55269,1.02418,0.00436,0.625,0.4498,0.24566,1.29194,3.93492,1.02661,0.000275642,0.000275642,0.000275642
21,103.838,1.07617,2.17672,0.92748,0.00413,0.58333,0.4664,0.26192,1.30031,3.84461,1.05248,0.000287874,0.000287874,0.000287874
22,108.464,1.26709,2.51356,1.07535,0.00413,0.58333,0.4664,0.26192,1.30031,3.84461,1.05248,0.000299877,0.000299877,0.000299877
23,113.38,1.26785,2.46296,1.11997,0.00415,0.58333,0.46424,0.25826,1.24681,3.80328,1.03361,0.000311653,0.000311653,0.000311653
24,118.264,1.26677,1.92804,1.16987,0.00415,0.58333,0.46424,0.25826,1.24681,3.80328,1.03361,0.000323201,0.000323201,0.000323201
25,123.103,1.28288,2.10281,1.11908,0.00439,0.625,0.4609,0.24163,1.20758,3.76314,1.01967,0.000334522,0.000334522,0.000334522
26,128.18,0.96601,2.41941,1.09104,0.00439,0.625,0.4609,0.24163,1.20758,3.76314,1.01967,0.000345615,0.000345615,0.000345615
27,133.484,1.43589,3.16009,1.08595,0.00445,0.625,0.35503,0.18918,1.23271,3.77139,1.00974,0.00035648,0.00035648,0.00035648
28,138.53,1.24757,1.89821,1.06031,0.00445,0.625,0.35503,0.18918,1.23271,3.77139,1.00974,0.000367118,0.000367118,0.000367118
29,143.54,1.22581,1.67568,1.14953,0.00446,0.625,0.26973,0.1483,1.19889,3.83513,0.99389,0.000377528,0.000377528,0.000377528
30,148.7,1.27153,2.07437,1.0498,0.00446,0.625,0.26973,0.1483,1.19889,3.83513,0.99389,0.000387711,0.000387711,0.000387711
31,154.446,1.10016,1.63575,1.013,0.00411,0.58333,0.24351,0.15339,1.20804,3.74079,1.03685,0.000397666,0.000397666,0.000397666
32,160.028,1.09701,1.74574,1.03536,0.00411,0.58333,0.24351,0.15339,1.20804,3.74079,1.03685,0.000407393,0.000407393,0.000407393
33,165.744,1.1716,1.6437,1.07458,0.00405,0.58333,0.22618,0.13618,1.24571,3.73172,1.05788,0.000416893,0.000416893,0.000416893
34,170.84,1.24871,1.51251,1.0209,0.00405,0.58333,0.22618,0.13618,1.24571,3.73172,1.05788,0.000426165,0.000426165,0.000426165
35,176.075,1.07846,1.82339,1.02452,0.00396,0.58333,0.22972,0.13356,1.26885,3.73552,1.05243,0.000435209,0.000435209,0.000435209
36,181.357,1.28698,1.95104,1.00189,0.00396,0.58333,0.22972,0.13356,1.26885,3.73552,1.05243,0.000444026,0.000444026,0.000444026
37,186.569,1.26314,1.66992,1.19218,0.00421,0.625,0.2605,0.15959,1.1805,3.70999,1.02025,0.000452615,0.000452615,0.000452615
38,192.545,1.18187,1.67421,1.12633,0.00421,0.625,0.2605,0.15959,1.1805,3.70999,1.02025,0.000460976,0.000460976,0.000460976
39,198.175,1.14093,1.43382,0.94724,0.00393,0.58333,0.31207,0.19841,1.17843,3.70003,1.01197,0.00046911,0.00046911,0.00046911
40,203.563,1.1968,1.54517,1.07404,0.00393,0.58333,0.31207,0.19841,1.17843,3.70003,1.01197,0.000477016,0.000477016,0.000477016
41,209.255,1.14255,1.48479,1.00496,0.00393,0.58333,0.34007,0.20813,1.16885,3.68047,0.99026,0.000484695,0.000484695,0.000484695
42,214.376,1.14037,1.45916,1.00642,0.00393,0.58333,0.34007,0.20813,1.16885,3.68047,0.99026,0.000492146,0.000492146,0.000492146
43,219.938,1.07047,1.37698,0.98419,0.00392,0.58333,0.33889,0.199,1.15262,3.66982,0.99016,0.000499369,0.000499369,0.000499369
44,225.343,1.02459,1.45336,0.96446,0.00392,0.58333,0.33889,0.199,1.15262,3.66982,0.99016,0.000506364,0.000506364,0.000506364
45,230.518,1.06685,1.4144,1.0086,0.00397,0.58333,0.34841,0.20663,1.15543,3.71393,1.01085,0.000513132,0.000513132,0.000513132
46,236.114,1.23275,1.59283,1.03432,0.00397,0.58333,0.34841,0.20663,1.15543,3.71393,1.01085,0.000519673,0.000519673,0.000519673
47,242.164,1.05898,1.35468,0.97303,0.00372,0.54167,0.36314,0.22889,1.14507,3.68661,1.00484,0.000525986,0.000525986,0.000525986
48,247.75,1.04149,1.60967,1.03109,0.00372,0.54167,0.36314,0.22889,1.14507,3.68661,1.00484,0.000532071,0.000532071,0.000532071
